ID,Tx,Ty,Tz,Q0,Qx,Qy,Qz,flip,origin
422104,65.5,-33.13,-1859.75,0.6652,0.227,-0.678,-0.215,,3
422105,64.82,17.7,-1861.65,0.6331,-0.309,-0.6368,0.3135,,3
422107,65.42,-50.56,-1862.88,0.6287,0.3305,-0.6241,-0.3251,,3
422108,65.19,-29.73,-1851.83,0.6932,0.1461,-0.6917,-0.1404,,3
422109,64.98,28.57,-1869.19,0.6022,-0.3662,-0.6065,0.3678,,3
422111,65.19,-29.75,-1847.69,0.6903,0.1598,-0.6885,-0.1547,,3
422114,65.35,-41.86,-1862.62,0.6331,0.3231,-0.6278,-0.3172,,3
422115,65.32,-36.92,-1855.93,0.6794,0.2072,-0.6748,-0.2012,,3
422117,65.48,-51.78,-1885.54,0.6392,0.3123,-0.6327,-0.3058,,3
422119,65.56,-55.31,-1865.43,0.6467,0.2974,-0.6397,-0.2905,,3
422121,65.53,-52.76,-1865.58,0.6406,0.3095,-0.6341,-0.3027,,3
422123,65.53,-49.46,-1846.35,0.6441,0.3037,-0.6362,-0.2971,,3
446107,65.43,-44.93,-1854.31,0.6557,0.2789,-0.6472,-0.2716,,3
446108,65.37,-40.06,-1847.09,0.6696,0.2427,-0.6613,-0.2356,,3
446109,65.19,-12.05,-1853.67,0.6942,-0.1308,-0.6948,0.1348,,3
446111,65.58,-51.26,-1856.72,0.6741,0.2335,-0.6639,-0.2251,,3
446112,65.3,6.92,-1873.78,0.65,-0.2834,-0.6451,0.2851,,3
446113,65.42,-18.23,-1848.76,0.7104,0.0078,-0.7036,-0.0023,,3
446115,65.28,12.69,-1870.23,0.6334,-0.3189,-0.6282,0.3202,,3
446116,65.46,-19.24,-1855.46,0.7103,-0.0162,-0.7034,0.0217,,3
446118,65.62,-40.88,-1853.1,0.6797,0.2182,-0.6686,-0.2091,,3
446120,65.61,-26.57,-1859.71,0.7114,-0.0093,-0.7026,0.0151,,3
556958,65.68,-40.95,-1849.56,0.6947,0.1656,-0.6825,-0.1569,,3
556959,65.52,-28.34,-1844.97,0.7043,0.1096,-0.6943,-0.1022,,3
556960,65.72,-46.76,-1854.18,0.6394,0.3214,-0.6256,-0.3107,,3
556961,65.75,-48.2,-1854.04,0.6857,0.2005,-0.6728,-0.1914,,3
