ID,Tx,Ty,Tz,Q0,Qx,Qy,Qz,flip,origion
175271,36.06,-48.83,-1876.22,0.6218,0.3554,-0.6172,-0.3371,1,4
175272,35.96,-43.76,-1866.09,0.6558,0.2755,-0.6501,-0.2674,1,4
175273,35.52,10.71,-1861.52,0.6663,-0.2324,-0.6672,0.2384,1,4
175274,34.28,-8.67,-1847.76,0.7038,0.0051,-0.7099,0.0143,0,4
175276,35.72,-17.37,-1854.93,0.7069,0.0591,-0.7028,-0.0517,1,4
175277,33.93,18.99,-1870.55,0.6403,-0.2912,-0.6409,0.3081,0,4
175278,34.75,-44.25,-1872.79,0.6319,0.3145,-0.6413,-0.3022,0,4
175279,33.97,19.09,-1879.36,0.6431,-0.2863,-0.6424,0.3035,0,4
175280,35.87,-34.98,-1865.24,0.6889,0.1751,-0.6835,-0.1676,1,4
175281,35.49,23.21,-1879.98,0.6632,-0.3135,-0.6318,0.3189,1,4
175282,34.53,-35.48,-1861.66,0.6729,0.1967,-0.6899,-0.1806,0,4
175283,35.47,20.62,-1878.39,0.6303,-0.3192,-0.6289,0.3249,1,4
175284,35.56,11.11,-1876.14,0.6583,-0.2547,-0.6584,0.2607,0,4
175285,35.89,-40.25,-1869.27,0.6619,0.2614,-0.6558,-0.2529,0,4
175286,34.51,-26.17,-1874.76,0.6886,0.1303,-0.7045,-0.1121,0,4
175287,35.55,18.58,-1883.45,0.6142,-0.3497,-0.6122,0.3548,0,4
175288,35.93,-44.68,-1863.32,0.6786,0.2117,-0.6734,-0.2031,1,4
175289,35.61,8.95,-1870.58,0.6507,-0.2743,-0.6509,0.2801,1,4
175290,33.87,-42.06,-1862.52,0.6794,0.1803,-0.6982,-0.1374,0,4
175292,33.99,21.05,-1870.17,0.6636,-0.2376,-0.6619,0.2551,0,4
175293,34.66,-40.16,-1863.06,0.6729,0.1972,-0.6898,-0.1804,0,4
175294,34.52,28.77,-1887.06,0.5999,-0.3622,-0.6082,0.3733,0,4
175295,35.81,-20.46,-1861.72,0.7087,0.0099,-0.7056,-0.0026,1,4
175296,34.68,-35.58,-1873.87,0.6698,0.2097,-0.6855,-0.1933,0,4
175297,35.9,-33.61,-1870.93,0.6723,0.2318,-0.6664,-0.2245,0,4
175298,35.58,15.27,-1871.72,0.6508,-0.2738,-0.6512,0.2795,0,4
