object	id	taxonomy	obstacles	m1_cal	m2_cal	m3_cal	m4_cal	x	y	z	rx	ry	rz	m1	m2	m3	m4
mustard bottle																	
medium timmies cup	191857.0	12.0	0.0	14510	14945	16460	17885	0.022930000000000002	-9.074433	177.226669	-0.188101	-3.081275	0.043572	16115.0	13340.0	18058.0	17490.0
medium timmies cup	191858.0	12.0	0.0	14510	14945	16460	17885	-4.261779	-19.314805	188.97685800000002	-1.502989	-2.689588	0.032799	16223.0	13235.0	18166.0	17490.0
medium timmies cup	191859.0	12.0	0.0	14510	14945	16460	17885	6.805166000000001	-14.671084	164.809846	-1.754148	2.427397	-0.031687	16127.0	13326.0	18080.0	17490.0
medium timmies cup	191860.0	12.0	0.0	14510	14945	16460	17885	5.495357	-3.6676550000000003	159.256535	-0.9156860000000001	-2.969028	0.068799	15595.0	13857.0	17544.0	17490.0
medium timmies cup	191861.0	12.0	0.0	14510	14945	16460	17885	7.849258	-19.422748000000002	221.497556	-0.438342	3.0776939999999997	-0.01891	16118.0	13336.0	18063.0	17490.0
medium timmies cup	191862.0	12.0	0.0	14510	14945	16460	17885	19.171309	-18.495022	178.389232	-0.720567	-2.790511	-0.013341	15993.0	13463.0	17938.0	17490.0
medium timmies cup	191863.0	12.0	0.0	14510	14945	16460	17885	-15.860385	-39.688722	188.168585	-1.454124	2.220498	-0.0016170000000000002	16020.0	13433.0	17969.0	17489.0
medium timmies cup	191864.0	12.0	0.0	14510	14945	16460	17885	-8.471209	-4.573715	177.248317	0.313262	-3.3802440000000002	0.140206	16213.0	13242.0	18156.0	17490.0
medium timmies cup	191865.0	12.0	0.0	14510	14945	16460	17885	19.94004	-27.857808000000002	205.798649	-0.392977	-3.0520549999999997	0.010867	16030.0	13417.0	17980.0	17490.0
medium timmies cup	191866.0	12.0	0.0	14510	14945	16460	17885	7.472142999999999	-19.94381	183.00509	-1.493368	2.616307	-0.00119	16061.0	13393.0	18008.0	17490.0
medium timmies cup	415787.0	12.0	0.0	14510	14943	16462	17892	27.750382000000002	-14.960632999999998	218.307421	0.270631	-3.013731	-0.13215	16030.0	13418.0	17979.0	17488.0
medium timmies cup	415788.0	12.0	0.0	14510	14943	16462	17892	27.102349	-18.041846	224.701502	0.275458	-3.087046	-0.15893800000000002	15852.0	13593.0	17804.0	17488.0
medium timmies cup	415789.0	12.0	0.0	14510	14943	16462	17892	18.21929	-16.577069	223.00564100000003	0.28563	-3.078134	-0.190151	15796.0	13652.0	17749.0	17488.0
medium timmies cup	415790.0	12.0	0.0	14510	14943	16462	17892	20.275267000000003	-22.630707	223.59004900000002	0.072977	-3.081556	-0.17784	16003.0	13445.0	17953.0	17485.0
medium timmies cup	415791.0	12.0	0.0	14510	14943	16462	17892	27.614385	-17.976214000000002	225.22652999999997	0.207697	-3.070029	-0.185576	15945.0	13500.0	17895.0	17488.0
medium timmies cup	415792.0	12.0	0.0	14510	14943	16462	17892	20.029146	-22.171156	225.75338	0.31050900000000003	-3.065449	-0.194333	15664.0	13788.0	17615.0	17488.0
medium timmies cup	415794.0	12.0	0.0	14510	14943	16462	17892	16.489713000000002	-22.949652	223.19749700000003	0.468692	-3.0288060000000003	-0.256215	15991.0	13459.0	17941.0	17487.0
medium timmies cup	415795.0	12.0	0.0	14510	14943	16462	17892	21.286924	-15.441811999999999	217.16633199999998	0.463179	-3.051788	-0.208605	15922.0	13528.0	17870.0	17488.0
medium timmies cup	415796.0	12.0	0.0	14510	14943	16462	17892	21.216414	-23.578554999999998	220.322977	0.7489	-2.9696689999999997	-0.20004	15897.0	13553.0	17846.0	17488.0
medium timmies cup	415797.0	12.0	0.0	14510	14943	16462	17892	22.492078	-27.648646999999997	216.33949199999998	0.329545	-3.077552	-0.249335	16002.0	13445.0	17953.0	17479.0
medium timmies cup	415798.0	12.0	0.0	14510	14943	16462	17892	26.055138	-19.449317999999998	227.70363799999998	0.443068	-3.0362139999999997	-0.22276300000000002	15924.0	13525.0	17875.0	17488.0
medium timmies cup	415799.0	12.0	0.0	14510	14943	16462	17892	21.02167	-21.801081	226.601031	0.5430659999999999	-2.997097	-0.26859	15913.0	13535.0	17863.0	17487.0
medium timmies cup	415800.0	12.0	0.0	14510	14943	16462	17892	27.828068	-19.46666	218.538914	0.432804	-3.048323	-0.232458	15895.0	13550.0	17846.0	17488.0
medium timmies cup	415801.0	12.0	0.0	14510	14943	16462	17892	25.722531	-17.750370999999998	222.04699	0.15216300000000002	-3.0611490000000003	-0.199722	15988.0	13458.0	17938.0	17488.0
medium timmies cup	415802.0	12.0	0.0	14510	14943	16462	17892	16.388161	-21.002169	222.528489	0.636849	-2.992796	-0.183973	15767.0	13682.0	17719.0	17492.0
medium timmies cup	415803.0	12.0	0.0	14510	14943	16462	17892	22.871832	-19.054572	224.195413	0.374337	-3.016651	-0.208826	15561.0	13890.0	17512.0	17492.0
medium timmies cup	415804.0	12.0	0.0	14510	14943	16462	17892	24.542111	-14.101081	221.868701	0.36185300000000004	-3.0398330000000002	-0.167706	15919.0	13530.0	17868.0	17491.0
medium timmies cup	415805.0	12.0	0.0	14510	14943	16462	17892	19.948126000000002	-14.398210999999998	223.196787	0.337667	-3.068409	-0.165665	15818.0	13630.0	17770.0	17491.0
medium timmies cup	415806.0	12.0	0.0	14510	14943	16462	17892	21.483293	-18.875535	221.14422599999997	0.216887	-3.057868	-0.24393800000000002	15766.0	13685.0	17718.0	17491.0
medium timmies cup	415807.0	12.0	0.0	14510	14943	16462	17892	15.728192000000002	-13.652835000000001	217.067623	0.43295500000000003	-3.046424	-0.254833	15910.0	13541.0	17858.0	17487.0
medium timmies cup	415808.0	12.0	0.0	14510	14943	16462	17892	30.502190000000002	-11.476626	220.71475499999997	0.368902	-3.07171	-0.23847600000000002	15923.0	13522.0	17875.0	17489.0
medium timmies cup	415809.0	12.0	0.0	14510	14943	16462	17892	19.905409	-24.539306	224.11944900000003	0.24464	-3.0243599999999997	-0.23421799999999998	15934.0	13518.0	17882.0	17489.0
medium timmies cup	415810.0	12.0	0.0	14510	14943	16462	17892	24.840429999999998	-18.879875	217.205621	0.36290900000000004	-2.998935	-0.308237	15997.0	13447.0	17951.0	17498.0
medium timmies cup	415811.0	12.0	0.0	14510	14943	16462	17892	16.496036	-22.053973000000003	224.48196800000002	0.370745	-3.059107	-0.21155	15904.0	13547.0	17852.0	17498.0
medium timmies cup	415812.0	12.0	0.0	14510	14943	16462	17892	20.507401	-23.509525	220.69322200000002	0.380921	-3.060232	-0.216286	15896.0	13552.0	17846.0	17498.0
medium timmies cup	415813.0	12.0	0.0	14510	14943	16462	17892	25.643424	-21.776996	218.40935299999998	0.278292	-3.0266319999999998	-0.235366	15864.0	13586.0	17813.0	17498.0
medium timmies cup	415814.0	12.0	0.0	14510	14943	16462	17892	15.845623000000002	-17.832712	219.272706	0.33150799999999997	-3.0789470000000003	-0.20369400000000001	15814.0	13638.0	17765.0	17498.0
medium timmies cup	415815.0	12.0	0.0	14510	14943	16462	17892	21.768441	-18.885863	224.538267	0.37015	-3.08074	-0.18901099999999998	15890.0	13557.0	17841.0	17498.0
medium timmies cup	415816.0	12.0	0.0	14510	14943	16462	17892	14.686481	-21.333817	221.869706	0.427724	-3.073515	-0.21999200000000002	15641.0	13810.0	17592.0	17498.0
medium timmies cup	415817.0	12.0	0.0	14510	14943	16462	17892	18.719615	-30.127053000000004	222.735457	0.557682	-3.000575	-0.200953	15616.0	13835.0	17568.0	17498.0
medium timmies cup	415818.0	12.0	0.0	14510	14943	16462	17892	19.966039000000002	-26.389583000000002	222.26368300000001	0.592368	-2.984559	-0.22860100000000003	15939.0	13511.0	17888.0	17498.0
